topic_id,topic_title,topic_url,forum_name,actual_start_date,actual_year,date_confidence,character
56958360,Quell'elfo ha qualcosa di..,https://fengardgiocate.forumcommunity.net/?t=56958360,FENGARD,2006-04-03,2006,high,merlinho
56958360,Quell'elfo ha qualcosa di..,https://fengardgiocate.forumcommunity.net/?t=56958360,FENGARD,2006-04-03,2006,high,Shimal
56958360,Quell'elfo ha qualcosa di..,https://fengardgiocate.forumcommunity.net/?t=56958360,FENGARD,2006-04-03,2006,high,Valen
6046631,Secondo incontro tra Shimal e merlinho,https://fengardgiocate.forumcommunity.net/?t=6046631,FENGARD,2006-04-03,2006,high,Ariel
6046631,Secondo incontro tra Shimal e merlinho,https://fengardgiocate.forumcommunity.net/?t=6046631,FENGARD,2006-04-03,2006,high,merlinho
6046631,Secondo incontro tra Shimal e merlinho,https://fengardgiocate.forumcommunity.net/?t=6046631,FENGARD,2006-04-03,2006,high,Shimal
54689232,Sono lady Shimal degli Hljödhr,https://fengardgiocate.forumcommunity.net/?t=54689232,FENGARD,2006-04-03,2006,high,Farfa
54689232,Sono lady Shimal degli Hljödhr,https://fengardgiocate.forumcommunity.net/?t=54689232,FENGARD,2006-04-03,2006,high,Kerixon
54689232,Sono lady Shimal degli Hljödhr,https://fengardgiocate.forumcommunity.net/?t=54689232,FENGARD,2006-04-03,2006,high,merlinho
54689232,Sono lady Shimal degli Hljödhr,https://fengardgiocate.forumcommunity.net/?t=54689232,FENGARD,2006-04-03,2006,high,Shimal
54689232,Sono lady Shimal degli Hljödhr,https://fengardgiocate.forumcommunity.net/?t=54689232,FENGARD,2006-04-03,2006,high,Valen
56654409,Senza di voi sono perduta ..,https://fengardgiocate.forumcommunity.net/?t=56654409,FENGARD,2006-04-14,2006,high,Alcalime
56654409,Senza di voi sono perduta ..,https://fengardgiocate.forumcommunity.net/?t=56654409,FENGARD,2006-04-14,2006,high,Baltor
56654409,Senza di voi sono perduta ..,https://fengardgiocate.forumcommunity.net/?t=56654409,FENGARD,2006-04-14,2006,high,Frade
56654409,Senza di voi sono perduta ..,https://fengardgiocate.forumcommunity.net/?t=56654409,FENGARD,2006-04-14,2006,high,Gilbert
56654409,Senza di voi sono perduta ..,https://fengardgiocate.forumcommunity.net/?t=56654409,FENGARD,2006-04-14,2006,high,Izayoi
56654409,Senza di voi sono perduta ..,https://fengardgiocate.forumcommunity.net/?t=56654409,FENGARD,2006-04-14,2006,high,Kishi
56654409,Senza di voi sono perduta ..,https://fengardgiocate.forumcommunity.net/?t=56654409,FENGARD,2006-04-14,2006,high,Naiiky
56654409,Senza di voi sono perduta ..,https://fengardgiocate.forumcommunity.net/?t=56654409,FENGARD,2006-04-14,2006,high,Raptors
